DATASET,TYPE,MODEL_TYPE,ZETA,FLIP,PROP,ACCURACY,STD
THYROID,FLOW3,SGDClassifier,0,0,0,0.5360220994475138,0.3475236984035485
THYROID,FLOW3,SGDClassifier,0,0,2,0.5074033149171271,0.37574072536112557
THYROID,FLOW3,SGDClassifier,0,0,4,0.6860773480662983,0.34631809797201957
THYROID,FLOW3,SGDClassifier,0,0,6,0.5844198895027625,0.2849964654599976
THYROID,FLOW3,SGDClassifier,0,0,8,0.6331491712707182,0.32930895854710657
THYROID,FLOW3,SGDClassifier,0,1,0,0.5774585635359115,0.37045505127144895
THYROID,FLOW3,SGDClassifier,0,1,2,0.7077348066298342,0.34111278540298107
THYROID,FLOW3,SGDClassifier,0,1,4,0.6154696132596685,0.3865996411638481
THYROID,FLOW3,SGDClassifier,0,1,6,0.6255248618784529,0.37581460778174247
THYROID,FLOW3,SGDClassifier,0,1,8,0.45215469613259673,0.36390714353786385
THYROID,FLOW3,SGDClassifier,0,2,0,0.5480662983425415,0.3868890356924579
THYROID,FLOW3,SGDClassifier,0,2,2,0.38618784530386735,0.3663154250493714
THYROID,FLOW3,SGDClassifier,0,2,4,0.5777900552486187,0.4216152864309429
THYROID,FLOW3,SGDClassifier,0,2,6,0.5767955801104973,0.387048198078009
THYROID,FLOW3,SGDClassifier,0,2,8,0.7516022099447515,0.29999306981900997
THYROID,FLOW3,SGDClassifier,0,3,0,0.5525966850828729,0.3933696311926897
THYROID,FLOW3,SGDClassifier,0,3,2,0.2724861878453039,0.356244342993178
THYROID,FLOW3,SGDClassifier,0,3,4,0.09281767955801104,1.4628472785736255e-17
THYROID,FLOW3,SGDClassifier,0,3,6,0.09359116022099448,0.0028554029382415196
THYROID,FLOW3,SGDClassifier,0,3,8,0.17679558011049726,0.26594991329650675
THYROID,FLOW3,SGDClassifier,1,0,0,0.6650828729281767,0.373859492363445
THYROID,FLOW3,SGDClassifier,1,0,2,0.5455248618784531,0.4008943906037381
THYROID,FLOW3,SGDClassifier,1,0,4,0.5348066298342542,0.32952228558385954
THYROID,FLOW3,SGDClassifier,1,0,6,0.718232044198895,0.3469531148223111
THYROID,FLOW3,SGDClassifier,1,0,8,0.7858563535911602,0.23693681484260157
THYROID,FLOW3,SGDClassifier,1,1,0,0.6169060773480664,0.2587224907928954
THYROID,FLOW3,SGDClassifier,1,1,2,0.503646408839779,0.3671623667005162
THYROID,FLOW3,SGDClassifier,1,1,4,0.7050828729281768,0.35058515444474303
