,DATASET,TYPE,MODEL_TYPE,ZETA,FLIP,PROP,ACCURACY
0,THYROID,FLOW3,SGDClassifier,5,0,6,0.9546961325966851
1,THYROID,FLOW3,SGDClassifier,5,0,6,0.09281767955801105
2,THYROID,FLOW3,SGDClassifier,5,0,6,0.2718232044198895
3,THYROID,FLOW3,SGDClassifier,5,0,6,0.4994475138121547
4,THYROID,FLOW3,SGDClassifier,5,0,6,0.8
5,THYROID,FLOW3,SGDClassifier,5,0,6,0.9215469613259668
6,THYROID,FLOW3,SGDClassifier,5,0,6,0.09281767955801105
7,THYROID,FLOW3,SGDClassifier,5,0,6,0.09281767955801105
8,THYROID,FLOW3,SGDClassifier,5,0,6,0.9314917127071823
9,THYROID,FLOW3,SGDClassifier,5,0,6,0.9248618784530387
10,THYROID,FLOW3,SGDClassifier,5,1,8,0.9027624309392265
11,THYROID,FLOW3,SGDClassifier,5,1,8,0.5524861878453039
12,THYROID,FLOW3,SGDClassifier,5,1,8,0.09281767955801105
13,THYROID,FLOW3,SGDClassifier,5,1,8,0.9469613259668508
14,THYROID,FLOW3,SGDClassifier,5,1,8,0.11602209944751381
15,THYROID,FLOW3,SGDClassifier,5,1,8,0.9458563535911603
16,THYROID,FLOW3,SGDClassifier,5,1,8,0.09281767955801105
17,THYROID,FLOW3,SGDClassifier,5,1,8,0.9458563535911603
18,THYROID,FLOW3,SGDClassifier,5,1,8,0.9403314917127071
19,THYROID,FLOW3,SGDClassifier,5,1,8,0.850828729281768
20,THYROID,FLOW3,SGDClassifier,5,1,0,0.09281767955801105
21,THYROID,FLOW3,SGDClassifier,5,1,0,0.13370165745856355
22,THYROID,FLOW3,SGDClassifier,5,1,0,0.9469613259668508
23,THYROID,FLOW3,SGDClassifier,5,1,0,0.949171270718232
24,THYROID,FLOW3,SGDClassifier,5,1,0,0.9425414364640884
25,THYROID,FLOW3,SGDClassifier,5,1,0,0.9425414364640884
26,THYROID,FLOW3,SGDClassifier,5,1,0,0.09281767955801105
27,THYROID,FLOW3,SGDClassifier,5,1,0,0.9613259668508287
28,THYROID,FLOW3,SGDClassifier,5,1,0,0.9248618784530387
29,THYROID,FLOW3,SGDClassifier,5,1,0,0.9370165745856354
30,THYROID,FLOW3,SGDClassifier,5,1,2,0.09281767955801105
31,THYROID,FLOW3,SGDClassifier,5,1,2,0.8917127071823204
32,THYROID,FLOW3,SGDClassifier,5,1,2,0.938121546961326
33,THYROID,FLOW3,SGDClassifier,5,1,2,0.9149171270718232
34,THYROID,FLOW3,SGDClassifier,5,1,2,0.9160220994475138
35,THYROID,FLOW3,SGDClassifier,5,1,2,0.2861878453038674
36,THYROID,FLOW3,SGDClassifier,5,1,2,0.09281767955801105
37,THYROID,FLOW3,SGDClassifier,5,1,2,0.9458563535911603
38,THYROID,FLOW3,SGDClassifier,5,1,2,0.8220994475138121
39,THYROID,FLOW3,SGDClassifier,5,1,2,0.32154696132596683
40,THYROID,FLOW3,SGDClassifier,5,2,0,0.6375690607734806
41,THYROID,FLOW3,SGDClassifier,5,2,0,0.943646408839779
42,THYROID,FLOW3,SGDClassifier,5,2,0,0.4
43,THYROID,FLOW3,SGDClassifier,5,2,0,0.9414364640883978
44,THYROID,FLOW3,SGDClassifier,5,2,0,0.9469613259668508
45,THYROID,FLOW3,SGDClassifier,5,2,0,0.46519337016574586
46,THYROID,FLOW3,SGDClassifier,5,2,0,0.9458563535911603
47,THYROID,FLOW3,SGDClassifier,5,2,0,0.9469613259668508
48,THYROID,FLOW3,SGDClassifier,5,2,0,0.9403314917127071
49,THYROID,FLOW3,SGDClassifier,5,2,0,0.9370165745856354
50,THYROID,FLOW3,SGDClassifier,5,2,2,0.9447513812154696
51,THYROID,FLOW3,SGDClassifier,5,2,2,0.9171270718232044
52,THYROID,FLOW3,SGDClassifier,5,2,2,0.9480662983425414
53,THYROID,FLOW3,SGDClassifier,5,2,2,0.26298342541436465
54,THYROID,FLOW3,SGDClassifier,5,2,2,0.09723756906077348
55,THYROID,FLOW3,SGDClassifier,5,2,2,0.9425414364640884
56,THYROID,FLOW3,SGDClassifier,5,2,2,0.943646408839779
57,THYROID,FLOW3,SGDClassifier,5,2,2,0.8541436464088398
58,THYROID,FLOW3,SGDClassifier,5,2,2,0.09281767955801105
59,THYROID,FLOW3,SGDClassifier,5,2,2,0.9535911602209944
60,THYROID,FLOW3,SGDClassifier,5,3,6,0.6044198895027625
61,THYROID,FLOW3,SGDClassifier,5,3,6,0.2850828729281768
62,THYROID,FLOW3,SGDClassifier,5,3,6,0.6718232044198895
63,THYROID,FLOW3,SGDClassifier,5,3,6,0.09281767955801105
64,THYROID,FLOW3,SGDClassifier,5,3,6,0.3160220994475138
65,THYROID,FLOW3,SGDClassifier,5,3,6,0.09281767955801105
66,THYROID,FLOW3,SGDClassifier,5,3,6,0.09281767955801105
67,THYROID,FLOW3,SGDClassifier,5,3,6,0.09281767955801105
68,THYROID,FLOW3,SGDClassifier,5,3,6,0.09281767955801105
69,THYROID,FLOW3,SGDClassifier,5,3,6,0.09281767955801105
70,THYROID,FLOW3,SGDClassifier,5,0,0,0.9535911602209944
71,THYROID,FLOW3,SGDClassifier,5,0,0,0.8917127071823204
72,THYROID,FLOW3,SGDClassifier,5,0,0,0.4320441988950276
73,THYROID,FLOW3,SGDClassifier,5,0,0,0.907182320441989
74,THYROID,FLOW3,SGDClassifier,5,0,0,0.7182320441988951
75,THYROID,FLOW3,SGDClassifier,5,0,0,0.9502762430939227
76,THYROID,FLOW3,SGDClassifier,5,0,0,0.9591160220994475
77,THYROID,FLOW3,SGDClassifier,5,0,0,0.9171270718232044
78,THYROID,FLOW3,SGDClassifier,5,0,0,0.943646408839779
79,THYROID,FLOW3,SGDClassifier,5,0,0,0.943646408839779
80,THYROID,FLOW3,SGDClassifier,5,1,6,0.9524861878453039
81,THYROID,FLOW3,SGDClassifier,5,1,6,0.9337016574585635
82,THYROID,FLOW3,SGDClassifier,5,1,6,0.9359116022099447
83,THYROID,FLOW3,SGDClassifier,5,1,6,0.9425414364640884
84,THYROID,FLOW3,SGDClassifier,5,1,6,0.932596685082873
85,THYROID,FLOW3,SGDClassifier,5,1,6,0.09281767955801105
86,THYROID,FLOW3,SGDClassifier,5,1,6,0.9602209944751381
87,THYROID,FLOW3,SGDClassifier,5,1,6,0.09281767955801105
88,THYROID,FLOW3,SGDClassifier,5,1,6,0.9425414364640884
89,THYROID,FLOW3,SGDClassifier,5,1,6,0.9469613259668508
90,THYROID,FLOW3,SGDClassifier,5,1,4,0.09281767955801105
91,THYROID,FLOW3,SGDClassifier,5,1,4,0.7602209944751381
92,THYROID,FLOW3,SGDClassifier,5,1,4,0.09281767955801105
93,THYROID,FLOW3,SGDClassifier,5,1,4,0.09281767955801105
94,THYROID,FLOW3,SGDClassifier,5,1,4,0.9337016574585635
95,THYROID,FLOW3,SGDClassifier,5,1,4,0.7845303867403315
96,THYROID,FLOW3,SGDClassifier,5,1,4,0.5734806629834254
97,THYROID,FLOW3,SGDClassifier,5,1,4,0.7812154696132597
98,THYROID,FLOW3,SGDClassifier,5,1,4,0.7966850828729282
99,THYROID,FLOW3,SGDClassifier,5,1,4,0.943646408839779
100,THYROID,FLOW3,SGDClassifier,5,2,6,0.9403314917127071
101,THYROID,FLOW3,SGDClassifier,5,2,6,0.943646408839779
102,THYROID,FLOW3,SGDClassifier,5,2,6,0.09281767955801105
103,THYROID,FLOW3,SGDClassifier,5,2,6,0.9458563535911603
104,THYROID,FLOW3,SGDClassifier,5,2,6,0.9502762430939227
105,THYROID,FLOW3,SGDClassifier,5,2,6,0.6419889502762431
106,THYROID,FLOW3,SGDClassifier,5,2,6,0.9359116022099447
107,THYROID,FLOW3,SGDClassifier,5,2,6,0.7867403314917127
108,THYROID,FLOW3,SGDClassifier,5,2,6,0.943646408839779
109,THYROID,FLOW3,SGDClassifier,5,2,6,0.34585635359116024
110,THYROID,FLOW3,SGDClassifier,5,2,4,0.8099447513812155
111,THYROID,FLOW3,SGDClassifier,5,2,4,0.7524861878453039
112,THYROID,FLOW3,SGDClassifier,5,2,4,0.8475138121546961
113,THYROID,FLOW3,SGDClassifier,5,2,4,0.8685082872928177
114,THYROID,FLOW3,SGDClassifier,5,2,4,0.8939226519337017
115,THYROID,FLOW3,SGDClassifier,5,2,4,0.09281767955801105
116,THYROID,FLOW3,SGDClassifier,5,2,4,0.09281767955801105
117,THYROID,FLOW3,SGDClassifier,5,2,4,0.9005524861878453
118,THYROID,FLOW3,SGDClassifier,5,2,4,0.45414364640883975
119,THYROID,FLOW3,SGDClassifier,5,2,4,0.09281767955801105
120,THYROID,FLOW3,SGDClassifier,5,3,0,0.6662983425414365
121,THYROID,FLOW3,SGDClassifier,5,3,0,0.9502762430939227
122,THYROID,FLOW3,SGDClassifier,5,3,0,0.23314917127071824
123,THYROID,FLOW3,SGDClassifier,5,3,0,0.9348066298342541
124,THYROID,FLOW3,SGDClassifier,5,3,0,0.943646408839779
125,THYROID,FLOW3,SGDClassifier,5,3,0,0.9425414364640884
