DATASET,MODEL_TYPE,ZETA,NUM_ZETA_MODELS,IMPLIMENTATION,"FLIP,PROP",ACCURACY
THYROID,SGD,2,7,HiFlow3,"0,6",0.9117514970059881
THYROID,SGD,2,4,HiFlow3,"1,2",0.8772455089820358
THYROID,SGD,2,4,HiFlow3,"2,2",0.8817365269461078
THYROID,SGD,2,1,HiFlow3,"3,6",0.8355538922155687
THYROID,SGD,2,2,HiFlow3,"1,6",0.8682634730538922
THYROID,SGD,2,2,HiFlow3,"1,4",0.8425898203592814
THYROID,SGD,2,1,HiFlow3,"2,6",0.8575598802395209
THYROID,SGD,2,2,HiFlow3,"2,4",0.8754491017964071
THYROID,SGD,2,1,HiFlow3,"3,2",0.8631736526946107
THYROID,SGD,2,9,HiFlow3,"0,2",0.8941616766467068
THYROID,SGD,2,7,HiFlow3,"0,4",0.8714071856287424
THYROID,SGD,2,1,HiFlow3,"3,4",0.8635479041916169
THYROID,SGD,2,0,Flower,"0,6",0.8223053892215567
THYROID,SGD,2,0,Flower,"1,2",0.8029191616766468
THYROID,SGD,2,0,Flower,"2,2",0.8108532934131736
THYROID,SGD,2,0,Flower,"3,6",0.7824850299401197
THYROID,SGD,2,0,Flower,"1,6",0.7949850299401198
THYROID,SGD,2,0,Flower,"1,4",0.7877245508982036
THYROID,SGD,2,0,Flower,"2,6",0.8044161676646707
THYROID,SGD,2,0,Flower,"2,4",0.7828592814371257
THYROID,SGD,2,0,Flower,"3,2",0.7945359281437125
THYROID,SGD,2,0,Flower,"0,2",0.8214071856287426
THYROID,SGD,2,0,Flower,"0,4",0.8066616766467067
THYROID,SGD,2,0,Flower,"3,4",0.8001497005988023
