DATASET,MODEL_TYPE,ZETA,NUM_ZETA_MODELS,IMPLIMENTATION,ACCURACY,VALIDATOR_GAS,COORDINATOR_GAS,C_IPFS,C_BLOCKCHAIN,C_SYSTEM
DIABETICS,SGD,3,2,HiFlow3,0.7015625,81614.0,42916.0,1282743.7,212526.59999999998,476904.28
DIABETICS,SGD,2,2,HiFlow3,0.696875,82622.0,42916.0,1277027.5,215726.2,599901.1799999999
DIABETICS,SGD,1,1,HiFlow3,0.6932291666666667,82958.0,42916.0,1288536.9,209516.4,686751.28
DIABETICS,SGD,5,5,HiFlow3,0.6583333333333334,83182.0,42916.0,1280447.7999999998,227059.4,595552.54
DIABETICS,SGD,4,2,HiFlow3,0.6291666666666667,81726.0,42916.0,1278484.6,216674.4,546782.52
DIABETICS,SGD,0,0,HiFlow3,0.6875000000000001,82174.0,42916.0,1278610.5,205788.0,586841.62
DIABETICS,LR,3,10,HiFlow3,0.4088541666666667,82846.0,42916.0,1232070.3,239245.2,806258.22
DIABETICS,LR,2,10,HiFlow3,0.4354166666666666,82902.0,42916.0,1222035.9,237076.4,858089.78
DIABETICS,LR,1,7,HiFlow3,0.534375,83182.0,42916.0,1250175.7999999998,229080.40000000002,933756.32
DIABETICS,LR,5,10,HiFlow3,0.4078125,82958.0,42916.0,1264246.4,242390.2,867524.88
DIABETICS,LR,4,10,HiFlow3,0.4005208333333333,82846.0,42916.0,1242856.7000000002,241422.4,745350.7
DIABETICS,LR,0,7,HiFlow3,0.5494791666666666,82734.0,42916.0,1247259.5,227277.8,786250.76
MUSHROOM,SGD,3,0,HiFlow3,0.8911439114391143,80718.0,42916.0,1235279.6,199000.8,380233.16
MUSHROOM,SGD,2,0,HiFlow3,0.8853628536285363,80718.0,42916.0,1234659.3,198655.8,378163.04
MUSHROOM,SGD,1,0,HiFlow3,0.8949569495694958,80718.0,42916.0,1238388.1,196308.1,379120.38
MUSHROOM,SGD,5,0,HiFlow3,0.8943419434194342,80718.0,42916.0,1232694.4,198624.7,379520.64
MUSHROOM,SGD,4,0,HiFlow3,0.8878228782287824,81054.0,42916.0,1249865.4,197984.8,396182.07999999996
MUSHROOM,SGD,0,0,HiFlow3,0.8926199261992618,83560.0,42916.0,1241650.2999999998,198120.8,385857.39999999997
MUSHROOM,LR,3,6,HiFlow3,0.8173431734317343,83070.0,42916.0,1346000.3,224746.40000000002,1203251.5599999998
MUSHROOM,LR,2,3,HiFlow3,0.8357933579335792,82958.0,42916.0,1235235.6,206691.3,1042006.16
MUSHROOM,LR,1,3,HiFlow3,0.8246002460024601,82902.0,42916.0,1258369.5,205829.1,929852.7000000001
MUSHROOM,LR,5,10,HiFlow3,0.8001230012300123,82286.0,42916.0,1251950.6,229878.8,943835.74
MUSHROOM,LR,4,9,HiFlow3,0.8061500615006147,82958.0,42916.0,1241921.2000000002,225085.5,1151563.0599999998
MUSHROOM,LR,0,3,HiFlow3,0.8329643296432965,83126.0,42916.0,1256488.2000000002,207036.7,1105062.76
THYROID,SGD,3,7,HiFlow3,0.8477348066298344,83294.0,42916.0,1206155.9,222299.5,1108734.0
THYROID,SGD,2,2,HiFlow3,0.8070718232044198,83350.0,42916.0,1151006.1,208157.40000000002,892664.34
THYROID,SGD,1,0,HiFlow3,0.6320441988950276,83294.0,42916.0,1176729.1,202619.0,957291.5199999999
THYROID,SGD,5,7,HiFlow3,0.5676243093922652,83294.0,42916.0,1285714.9,232631.5,922634.6799999999
THYROID,SGD,4,6,HiFlow3,0.5027624309392265,83126.0,42916.0,1222458.2000000002,220447.6,942026.08
THYROID,SGD,0,0,HiFlow3,0.5664088397790055,102279.6,51499.2,1165923.4,202053.0,1151116.02
THYROID,LR,3,9,HiFlow3,0.9295027624309393,83350.0,42916.0,1216141.1,226902.7,1148023.3800000001
THYROID,LR,2,7,HiFlow3,0.9338121546961327,83238.0,42916.0,1230382.5,221760.3,973461.68
THYROID,LR,1,6,HiFlow3,0.9300552486187845,83070.0,42916.0,1219564.8,220743.8,930495.1399999999
THYROID,LR,5,10,HiFlow3,0.9330386740331493,83014.0,42916.0,1218898.4,228625.0,1116773.54
THYROID,LR,4,10,HiFlow3,0.932596685082873,83014.0,42916.0,1236206.9,228159.4,1020701.5399999999
THYROID,LR,0,7,HiFlow3,0.930828729281768,85576.0,42916.0,1233551.7000000002,211546.0,1057554.82
