DATASET,MODEL_TYPE,ZETA,NUM_ZETA_MODELS,IMPLIMENTATION,"FLIP,PROP",ACCURACY
DIABETICS,SGD,2,2,HiFlow3,"0,6",0.6494791666666667
DIABETICS,SGD,2,0,HiFlow3,"1,2",0.6885416666666666
DIABETICS,SGD,2,0,HiFlow3,"2,2",0.6661458333333333
DIABETICS,SGD,2,0,HiFlow3,"3,6",0.5963541666666667
DIABETICS,SGD,2,1,HiFlow3,"1,6",0.7130208333333334
DIABETICS,SGD,2,1,HiFlow3,"1,4",0.66875
DIABETICS,SGD,2,0,HiFlow3,"2,6",0.6864583333333333
DIABETICS,SGD,2,0,HiFlow3,"2,4",0.6473958333333333
DIABETICS,SGD,2,2,HiFlow3,"3,2",0.7302083333333333
DIABETICS,SGD,2,1,HiFlow3,"0,2",0.6885416666666666
DIABETICS,SGD,2,0,HiFlow3,"0,4",0.6385416666666667
DIABETICS,SGD,2,0,HiFlow3,"3,4",0.6083333333333333
DIABETICS,SGD,2,0,Flower,"0,6",0.5182291666666666
DIABETICS,SGD,2,0,Flower,"1,2",0.5130208333333334
DIABETICS,SGD,2,0,Flower,"2,2",0.5296875
DIABETICS,SGD,2,0,Flower,"3,6",0.4442708333333333
DIABETICS,SGD,2,0,Flower,"1,6",0.5286458333333334
DIABETICS,SGD,2,0,Flower,"1,4",0.5098958333333333
DIABETICS,SGD,2,0,Flower,"2,6",0.4625
DIABETICS,SGD,2,0,Flower,"2,4",0.5526041666666666
DIABETICS,SGD,2,0,Flower,"3,2",0.5109375
DIABETICS,SGD,2,0,Flower,"0,2",0.5552083333333334
DIABETICS,SGD,2,0,Flower,"0,4",0.5744791666666665
DIABETICS,SGD,2,0,Flower,"3,4",0.5505208333333333
DIABETICS,LR,2,9,HiFlow3,"0,6",0.4328125
DIABETICS,LR,2,10,HiFlow3,"1,2",0.38958333333333334
DIABETICS,LR,2,9,HiFlow3,"2,2",0.4651041666666667
DIABETICS,LR,2,10,HiFlow3,"3,6",0.3791666666666667
DIABETICS,LR,2,9,HiFlow3,"1,6",0.39583333333333337
DIABETICS,LR,2,10,HiFlow3,"1,4",0.4567708333333333
DIABETICS,LR,2,10,HiFlow3,"2,6",0.39895833333333336
DIABETICS,LR,2,10,HiFlow3,"2,4",0.5
DIABETICS,LR,2,10,HiFlow3,"3,2",0.3734375
DIABETICS,LR,2,9,HiFlow3,"0,2",0.4692708333333333
